AtcoCode,Direction,PlateCode,Latitude,Longitude,StopLoadDay,RoutesPassingThrough,RoutesPassingThroughCount,OperatorsPassingThrough,OperatorsPassingThroughCount,ShortCommonName_en,ShortCommonName_ga,isRTPI,HasPole,HasShelter,CarouselType,FlagData,StopAccessibility,WheelchairAccessibility
8220DB000617,1,617,53.35789452,-6.242009096,705," 130, 27a, 27b, 42, 43, 53, 6, h1, h2, h3, h9",11, Dublin Bus,1,Strandville Avenue,Asc Bhaile na Trá,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000617,0,617,53.35789452,-6.242009096,705," 14, 15, 27",3, Dublin Bus,1,Strandville Avenue,Asc Bhaile na Trá,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000616,1,616,53.35984471,-6.239554896,705," 130, 27a, 27b, 42, 43, 53, 6, h1, h2, h3, h9",11, Dublin Bus,1,Nth Strand Fire Stn,Stáisiún Sóiteáin,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000616,0,616,53.35984471,-6.239554896,705," 14, 15, 27",3, Dublin Bus,1,Nth Strand Fire Stn,Stáisiún Sóiteáin,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB004384,1,4384,53.35768013,-6.242709027,704," 14, 15, 27",3, Dublin Bus,1,Bayview Avenue,Asc Rc an Chuain,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB004384,0,4384,53.35768013,-6.242709027,704," 130, 27a, 27b, 42, 43, 53, 6, h1, h2, h3",10, Dublin Bus,1,Bayview Avenue,Asc Rc an Chuain,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000516,1,516,53.35568392,-6.245705684,704," 14, 15, 27",3, Dublin Bus,1,North Strand Road,Bóthar na Trá Tdh,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000516,0,516,53.35568392,-6.245705684,704," 130, 27a, 27b, 42, 43, 53, 6, h1, h2, h3",10, Dublin Bus,1,North Strand Road,Bóthar na Trá Tdh,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000515,1,515,53.35353487,-6.248092401,704," 14, 15, 27",3, Dublin Bus,1,Portland Row,Rae Portland,1,Pole,No Shelter,Short Carousel,"Lolly Pop,Stretched",1,1
8220DB000515,0,515,53.35353487,-6.248092401,704," 130, 27a, 27b, 42, 43, 53, 6, h1, h2, h3",10, Dublin Bus,1,Portland Row,Rae Portland,1,Pole,No Shelter,Short Carousel,"Lolly Pop,Stretched",1,1
8220DB000051,1,51,53.35781041,-6.263271572,702," 33, 40b, 40d, 41, 41b, 41c, 41d",7, Dublin Bus,1,Temple Street,Sráid Temple,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000051,0,51,53.35781041,-6.263271572,702," 1, 11, 122, 13, 16, 16d, 40, 44, 901, 910, 980b",11," Collins Coaches, Dublin Bus, Matthews Coach Hire",3,Temple Street,Sráid Temple,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000614,1,614,53.363638,-6.23349323,696," 130, 27a, 27b, 27x, 42, 43, 6, h1, h2, h3, h9",11, Dublin Bus,1,Fairview,Fionnradharc,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000614,0,614,53.363638,-6.23349323,696," 14, 15, 27, 32x",4, Dublin Bus,1,Fairview,Fionnradharc,1,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000615,1,615,53.36190642,-6.237351299,692," 130, 27a, 27b, 42, 43, 6, h1, h2, h3, h9",10, Dublin Bus,1,Annesley Bridge,Droichead Annesley,0,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000615,0,615,53.36190642,-6.237351299,692," 14, 15, 27",3, Dublin Bus,1,Annesley Bridge,Droichead Annesley,0,No Pole,Shelter,Shelter Panel,Circular,1,1
8220DB000523,1,523,53.36428545,-6.231693332,691," 14, 15, 27",3, Dublin Bus,1,Marino College,Coláiste Marino,0,No Pole,Shelter,Shelter Panel,Circular,1,1
